Codigo,Clase,Familia,Descripcion,Tallas,Marca,Color,Composicion,Precio_reg,Precio_final
335295,VESTIDO JUVENIL,VESTIDO CASUAL,FW 26  VESTIDO TEJIDO CUELLO POLO COLOR CAFE,50/70/90/110/130,FOREVER 21,CAFE,VISCOSA 52 %. POLIESTER 27 %. POLIAMIDA 21 %.,399,399
335303,ACCESORIOS,CARTERA,ECOMM CARTERA PORTA CELULAR PHONE ORGANIZER CARLA BEIGE,10,GUESS FACTORY,BEIGE,PVC 100 %.,1199,1199
335305,ACCESORIOS,CARTERA,ECOMM CARTERA PORTA CELULAR PHONE ORGANIZER CARLA NEGRO,10,GUESS FACTORY,NEGRO,PVC 100 %.,1199,1199
335333,BLUSA JUVENIL,MODA ML,"FM BLUSA CUELLO RUSO MANGA LARGA CON CON ESPALDA DESCUBIERTA, COLOR NEGRO Y CAFE",50/70/90/110/130/150/170,NAKED WARDROBE,NEGRO,BAMBOO 95 %. SPANDEX 5 %.,179,179
335338,BLUSA JUVENIL,MODA SM,"FM, PPB, BLUSA CON TIRANTES DE OLANES CON ESPALDA FRUNCIDA COLOR AZUL",70/90/110/130,NO COMMENT,BLUE,POLIESTER 100 %.,299,119
335354,BOLSAS,DE HOMBRO,BOLSA DE HOMBRO EN COLOR CAFE 27*35*13,10,LADY SUN,BROWN,POLYURETHANE 100%.,479,479
335355,BLUSA JUVENIL,MODA ML,"FM TOP CON ABERTURA EN DELANTERO M/L, CRUCE EM ESCOTE, VARIOS COLORES",70/90/110,NAKED WARDROBE,VARIOS,BAMBOO 95 %. SPANDEX 5 %.,149,149
335356,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO SIN UNA MANGA Y LA OTRA BOMBACHA  FALDA SUELTA,70/90/110,HYFVE DOUBLE ZERO,AZUL,ALGODON 100%.,399,399
335366,BLUSA JUVENIL,MODA MC,SS26 BLUSA REFILL COLOR BLANCO CON RAYAS AZULES SILUETA TIPO CROP BOLSA AL LADO IZQUIERDO,70/90/110/130/150,REFILL,WHITE,VISCOSE 100%.,279,279
335372,BLUSA JUVENIL,MODA SM,RECOMPRA PARA SS25 C02SS24 BLUSA REFILL ESTILO CORSET DE MEZCLILLA,50/70/90/110,STRONA,BLEACH,COTTON 65%. POLYESTER 33%. SPANDEX 2%.,329,229
335378,ACCESORIOS,CARTERA,ECOMM CARTERA PORTA CELULAR PHONE ORGANIZER CARLA AZUL ESTAMPADO,10,GUESS FACTORY,AZUL,PVC 100 %.,1199,1199
335393,PLAYERA JUVENIL,PLAYERA REGULAR SM,FW 26 PLAYERA TEJIDA RAYADA SIN MANGAS,70/90/110/130,FOREVER 21,VINO,POLIESTER 72 %. POLIAMIDA 28 %.,199,199
335394,BOLSAS,CRUZADA,ECOMM BOLSA CROSSBODY ISABELLA ROSA ESTAMPADO,10,GUESS FACTORY,ROSA,PVC 100 %.,2099,2099
335395,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO AJUSTADO  DE TIRANTES DISEÑO EN FALDA,70/90/110,HYFVE DOUBLE ZERO,NEGRO,POLIAMIDA 90%. ELASTANO 10%.,399,399
335396,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO CORTO DE TIRANTES ESTILO SUELTO,70/90/110,HYFVE DOUBLE ZERO,NEGRO,POLIESTER 100%.,399,399
335398,BOLSAS,CRUZADA,ECOMM BOLSA CROSSBODY ISABELLA BLANCO ESTAMPADO,10,GUESS FACTORY,BLANCO,PVC 100 %.,2099,2099
335404,PLAYERA JUVENIL,PLAYERA REGULAR SM,FW 26  PLAYERA TEJIDA RAYADA SIN MANGAS COLOR NEGRO,70/90/110/130,FOREVER 21,NEGRO,VISCOSA 72 %. POLIAMIDA 28 %.,199,199
335408,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO CORTO SIN MANGAS DISEÑO CON ENCAJE,70/90/110,HYFVE DOUBLE ZERO,AMARILLO,POLIESTER 100%.,399,399
335410,PLAYERA JUVENIL,PLAYERA ECONOMICA MC,OTB SS24  PLAYERA JUVENIL ECONOMICA MANGA CORTA MARCA SAHARA COLOR BEIGE CON ESTAMPADO FOIL AL FRENTE,70/90/110/130/150,SAHARA,BEIGE,POLIESTER 50%. VISCOSA 50%.,179,89
335412,BLUSA JUVENIL,MODA SM,BLUSA JENNIFER LOPEZ DE UN TIRANTE GRUESO,50/70/90/110/130,JENNIFER LOPEZ,ORANGE,POLYESTER 95%. ELASTANE 5%.,199,99
335417,BLUSA JUVENIL,MODA ML,BLUSA THINNER OVERSIZE CON ESTAMPADO,50/70/90/110/130,STRONA,PINK,POLYESTER 100%.,319,139
335420,BOLSAS,DE HOMBRO,ECOMM BOLSA TOTE ISABELLA NEGRO SUAVIZADO,10,GUESS FACTORY,NEGRO,PVC 100 %.,2599,2599
335432,BLUSA JUVENIL,BASICA SM,"FM BLUSA C/TIRANTES Y ENCAJE, COLOR MENTA",70/90/110,EMOCIONES,MENTA,POLIESTER 100 %.,99,99
335435,VESTIDO JUVENIL,VESTIDO CASUAL,ECOMM  RTF  VESTIDO CORTO  MANGA BOMBACHA  FALDA CIRCULAR  CON ESCOTE,70/90/110,HYFVE DOUBLE ZERO,BLANCO,POLIESTER 100%.,399,399
335436,VERANO JUVENIL,JUMPER,ECOMM  RTF  SET DE TOP Y SHORT CON DETALLE DE ENCAJE EN BASTILLA,70/90/110,HYFVE DOUBLE ZERO,BLACK,ALGODON 53%. ACRILICO 37%. POLIAMIDA 10%.,399,399
335438,BOLSAS,DE HOMBRO,ECOMM BOLSA TOTE ISABELLA BLANCO ESTAMPADO,10,GUESS FACTORY,BLANCO,PVC 100 %.,2599,2599
335446,VERANO JUVENIL,JUMPER,ECOMM  RTF  SET DE BLUSA SIN MANGAS Y PANTALON LARGO SUELTO,70/90/110,HYFVE DOUBLE ZERO,AMARILLO,ALGODON 95%. VISCOSA 5%.,499,499
335447,BLUSA JUVENIL,MODA SM,BLUSA 18 FOREVER DE TIRANTES DELGADOS,50/70/90/110/130,18 FOREVER,ORANGE,COTTON 100%.,189,39
335449,BLUSA JUVENIL,MODA ML,C02SS24 BLUSA THINNER DE MANGA LARGA CON ESTAMPADO,50/70/90/110/130,STRONA,BLACK,POLYESTER 100%.,249,49
335451,BOLSAS,DE HOMBRO,ECOMM BOLSA TOTE ISABELLA CAFÉ ESTAMPADO,10,GUESS FACTORY,CAFE,PVC 100 %.,2599,2599
335455,BLUSA JUVENIL,MODA SM,BLUSA REFILL CON TIRANTES GRUESOS,50/70/90/110/130,REFILL,RED,POLYESTER 100%.,229,159
335457,BLUSA JUVENIL,MODA ML,BLUSA 18 FOREVER MANGA LARGA,50/70/90/110/130,18 FOREVER,PINK,VISCOSE 100%.,319,69
335460,INVIERNO LIGERO,CHAMARRA LIGERA,FW 26 CHAMARRA DENIM CON PELO ESTAMPADO ANIMAL PRINT EN CUELLO   COLOR NEGRO,50/70/90/110/130,FOREVER 21,NEGRO,ALGODON 78 %. VISCOSA 12 %. POLIESTER 10 %.,799,799
335472,BLUSA JUVENIL,MODA SM,BLUSA JENNIFER LOPEZ SIN MANGA CON TIRANTES GRUESOS CROP,50/70/90/110/130,JENNIFER LOPEZ,BLACK,POLYESTER 96%. SPANDEX 4%.,199,129
335483,UNIFORMES COPPEL,DAMAS,BLUSA AZUL ML DAMA AFORE,240/260/280/300/320/340/360/380/400/420/440/460,SIN MARCA,AZUL,ALGODON 65 %. POLIESTER 35 %.,429,429
335487,BLUSA JUVENIL,MODA ML,BLUSA SAHARA MANGA LARDA CON ESTAMPADO FLORAL,50/70/90/110/130,SAHARA,BLUE,VISCOSE 100%.,229,59
335488,INVIERNO,CHALECO,"FM. CHALECO CORTO CON CIERRE, CUELLO ALTO. COLOR SAGE.",70/90/110/130,NEW LOOK,SAGE,POLYESTER 100 %.,299,299
335494,UNIFORMES COPPEL,DAMAS,"BLUSA GRIS ML DAMA, JEFE COBRANZA, PAQ 3",240/260/280/300/320/340/360/380/400/420/440/460,SIN MARCA,GRIS,ALGODON 50%. POLIESTER 50%.,464,464
